"","Player","GP","G","A","P.2","whkye","season","year","type","age","P","league","GP_m1","G_m1","A_m1","P_m1","whkye_m1","league_m1"
"633","Kelsey Koelzer","14","0","0","0",0,"2018-19",2018,"whkye",23,"D","nwhl",NA,NA,NA,NA,NA,NA
"634","Kelsey Koelzer","15","5","9","14",0.42,"2017-18",2017,"whkye",22,"D","nwhl",14,0,0,0,0,"2018-19"
"635","Kelsey Koelzer","33","8","23","31",0.42,"2016-17",2016,"whkye",21,"D","nwhl",15,5,9,14,0.42,"2017-18"
"636","Kelsey Koelzer","33","17","16","33",0.43,"2015-16",2015,"whkye",20,"D","other",33,8,23,31,0.42,"2016-17"
"637","Kelsey Koelzer","31","8","18","26",0.39,"2014-15",2014,"whkye",19,"D","other",33,17,16,33,0.43,"2015-16"
"638","Kelsey Koelzer","31","6","4","10",0.16467420128,"2013-14",2013,"whkye",18,"D","other",31,8,18,26,0.39,"2014-15"
"639","Michelle Picard","16","0","2","2",0.07,"2018-19",2018,"whkye",25,"D","nwhl",NA,NA,NA,NA,NA,NA
"640","Michelle Picard","16","0","4","4",0.11,"2017-18",2017,"whkye",24,"D","nwhl",16,0,2,2,0.07,"2018-19"
"641","Michelle Picard","18","2","6","8",0.2,"2016-17",2016,"whkye",23,"D","nwhl",16,0,4,4,0.11,"2017-18"
"642","Michelle Picard","32","2","10","12",0.16,"2015-16",2015,"whkye",22,"D","other",18,2,6,8,0.2,"2016-17"
"643","Michelle Picard","35","2","15","17",0.23,"2014-15",2014,"whkye",21,"D","other",32,2,10,12,0.16,"2015-16"
"644","Michelle Picard","34","4","13","17",0.276422923,"2012-13",2012,"whkye",19,"D","other",35,2,15,17,0.23,"2014-15"
"645","Michelle Picard","28","0","7","7",0.15951097075,"2011-12",2011,"whkye",18,"D","other",34,4,13,17,0.276422923,"2012-13"
"646","Milica McMillen","18","3","6","9",0.22,"2016-17",2016,"whkye",23,"D","nwhl",NA,NA,NA,NA,NA,NA
"647","Milica McMillen","38","9","19","28",0.32,"2015-16",2015,"whkye",22,"D","other",18,3,6,9,0.22,"2016-17"
"648","Milica McMillen","37","11","16","27",0.34,"2014-15",2014,"whkye",21,"D","other",38,9,19,28,0.32,"2015-16"
"649","Milica McMillen","39","11","28","39",0.514606879,"2013-14",2013,"whkye",20,"D","other",37,11,16,27,0.34,"2014-15"
"650","Milica McMillen","35","13","13","26",0.40910592604,"2012-13",2012,"whkye",19,"D","other",39,11,28,39,0.514606879,"2013-14"
"651","Miye D'Oench","9","1","6","7",0.4,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"652","Miye D'Oench","9","7","6","13",0.65,"2017-18",2017,"whkye",23,"F","nwhl",9,1,6,7,0.4,"2018-19"
"653","Miye D'Oench","18","5","9","14",0.35,"2016-17",2016,"whkye",22,"F","nwhl",9,7,6,13,0.65,"2017-18"
"654","Miye D'Oench","32","14","23","37",0.5,"2015-16",2015,"whkye",21,"F","other",18,5,9,14,0.35,"2016-17"
"655","Miye D'Oench","35","19","14","33",0.44,"2014-15",2014,"whkye",20,"F","other",32,14,23,37,0.5,"2015-16"
"656","Miye D'Oench","34","21","18","39",0.59179791085,"2013-14",2013,"whkye",19,"F","other",35,19,14,33,0.44,"2014-15"
"657","Miye D'Oench","34","10","3","13",0.21008142148,"2012-13",2012,"whkye",18,"F","other",34,21,18,39,0.59179791085,"2013-14"
"658","Rebecca Morse","11","1","0","1",0.05,"2018-19",2018,"whkye",26,"D","nwhl",NA,NA,NA,NA,NA,NA
"659","Rebecca Morse","13","2","0","2",0.07,"2017-18",2017,"whkye",25,"D","nwhl",11,1,0,1,0.05,"2018-19"
"660","Rebecca Morse","7","0","1","1",0.06,"2016-17",2016,"whkye",24,"D","nwhl",13,2,0,2,0.07,"2017-18"
"661","Rebecca Morse","34","3","6","9",0.13379778854,"2013-14",2013,"whkye",21,"D","other",7,0,1,1,0.06,"2016-17"
"662","Rebecca Morse","32","5","16","21",0.36487825836,"2012-13",2012,"whkye",20,"D","other",34,3,6,9,0.13379778854,"2013-14"
"663","Rebecca Morse","37","3","11","14",0.24245667554,"2011-12",2011,"whkye",19,"D","other",32,5,16,21,0.36487825836,"2012-13"
"664","Rebecca Morse","33","5","11","16",0.19778160672,"2010-11",2010,"whkye",18,"D","other",37,3,11,14,0.24245667554,"2011-12"
"665","Rebecca Russo","16","5","3","8",0.26,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"666","Rebecca Russo","16","9","8","17",0.48,"2017-18",2017,"whkye",23,"F","nwhl",16,5,3,8,0.26,"2018-19"
"667","Rebecca Russo","18","3","13","16",0.4,"2016-17",2016,"whkye",22,"F","nwhl",16,9,8,17,0.48,"2017-18"
"668","Rebecca Russo","39","15","23","38",0.42,"2015-16",2015,"whkye",21,"F","other",18,3,13,16,0.4,"2016-17"
"669","Rebecca Russo","37","10","11","21",0.27,"2014-15",2014,"whkye",20,"F","other",39,15,23,38,0.42,"2015-16"
"670","Rebecca Russo","38","11","10","21",0.28303378345,"2013-14",2013,"whkye",19,"F","other",37,10,11,21,0.27,"2014-15"
"671","Rebecca Russo","30","1","4","5",0.09398379382,"2012-13",2012,"whkye",18,"F","other",38,11,10,21,0.28303378345,"2013-14"
"672","Maddie Elia","16","12","7","19",0.61,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"673","Maddie Elia","14","5","9","14",0.45,"2017-18",2017,"whkye",22,"F","nwhl",16,12,7,19,0.61,"2018-19"
"674","Maddie Elia","32","12","24","36",0.5,"2016-17",2016,"whkye",21,"F","other",14,5,9,14,0.45,"2017-18"
"675","Maddie Elia","39","15","14","29",0.32,"2015-16",2015,"whkye",20,"F","other",32,12,24,36,0.5,"2016-17"
"676","Maddie Elia","36","7","12","19",0.25,"2014-15",2014,"whkye",19,"F","other",39,15,14,29,0.32,"2015-16"
"677","Maddie Elia","38","13","15","28",0.38080909046,"2013-14",2013,"whkye",18,"F","other",36,7,12,19,0.25,"2014-15"
"678","Kristin Lewicki","16","1","0","1",0.03,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"679","Kristin Lewicki","14","5","2","7",0.22,"2017-18",2017,"whkye",22,"F","nwhl",16,1,0,1,0.03,"2018-19"
"680","Emily Fluke","16","3","8","11",0.35,"2018-19",2018,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"681","Emily Fluke","16","4","7","11",0.31,"2017-18",2017,"whkye",25,"F","nwhl",16,3,8,11,0.35,"2018-19"
"682","Amanda Boulier","16","5","8","13",0.41,"2018-19",2018,"whkye",25,"D|F","nwhl",NA,NA,NA,NA,NA,NA
"683","Amanda Boulier","12","3","5","8",0.3,"2017-18",2017,"whkye",24,"D|F","nwhl",16,5,8,13,0.41,"2018-19"
"684","Amanda Boulier","38","10","19","29",0.33,"2015-16",2015,"whkye",22,"D|F","other",12,3,5,8,0.3,"2017-18"
"685","Amanda Boulier","36","6","17","23",0.3,"2014-15",2014,"whkye",21,"D|F","other",38,10,19,29,0.33,"2015-16"
"686","Amanda Boulier","38","8","24","32",0.46439051064,"2012-13",2012,"whkye",19,"D|F","other",36,6,17,23,0.3,"2014-15"
"687","Amanda Boulier","38","4","16","20",0.33816325799,"2011-12",2011,"whkye",18,"D|F","other",38,8,24,32,0.46439051064,"2012-13"
"688","Kaylyn Schroka","14","4","6","10",0.32,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"689","Jess Jones","25","9","6","15",0.35,"2018-19",2018,"whkye",28,"F","other",NA,NA,NA,NA,NA,NA
"690","Jess Jones","14","4","5","9",0.29,"2017-18",2017,"whkye",27,"F","nwhl",25,9,6,15,0.35,"2018-19"
"691","Jess Jones","24","17","20","37",0.92,"2016-17",2016,"whkye",26,"F","other",14,4,5,9,0.29,"2017-18"
"692","Jess Jones","24","14","10","24",0.57,"2015-16",2015,"whkye",25,"F","other",24,17,20,37,0.92,"2016-17"
"693","Jess Jones","24","7","9","16",0.3,"2014-15",2014,"whkye",24,"F","other",24,14,10,24,0.57,"2015-16"
"694","Jess Jones","23","5","4","9",0.18478473507,"2013-14",2013,"whkye",23,"F","other",24,7,9,16,0.3,"2014-15"
"695","Jess Jones","19","28","25","53",0.37033803513,"2012-13",2012,"whkye",22,"F","other",23,5,4,9,0.18478473507,"2013-14"
"696","Jess Jones","34","13","35","48",0.89964187503,"2011-12",2011,"whkye",21,"F","other",19,28,25,53,0.37033803513,"2012-13"
"697","Jess Jones","29","12","14","26",0.3708405126,"2010-11",2010,"whkye",20,"F","other",34,13,35,48,0.89964187503,"2011-12"
"698","Jess Jones","36","20","26","46",0.5848832128,"2009-10",2009,"whkye",19,"F","other",29,12,14,26,0.3708405126,"2010-11"
"699","Taylor Accursi","13","4","2","6",0.23,"2018-19",2018,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"700","Taylor Accursi","15","6","5","11",0.33,"2017-18",2017,"whkye",22,"F","nwhl",13,4,2,6,0.23,"2018-19"
"701","Taylor Accursi","35","9","14","23",0.29,"2016-17",2016,"whkye",21,"F","other",15,6,5,11,0.33,"2017-18"
"702","Taylor Accursi","28","3","2","5",0.08,"2015-16",2015,"whkye",20,"F","other",35,9,14,23,0.29,"2016-17"
"703","Taylor Accursi","23","3","4","7",0.14,"2014-15",2014,"whkye",19,"F","other",28,3,2,5,0.08,"2015-16"
"704","Taylor Accursi","37","0","3","3",0.04116855032,"2013-14",2013,"whkye",18,"F","other",23,3,4,7,0.14,"2014-15"
"705","Taylor Accursi","19","8","7","15",0.10953146654,"2012-13",2012,"whkye",17,"F","other",37,0,3,3,0.04116855032,"2013-14"
"706","Taylor Accursi","30","10","13","23",0.14097669432,"2011-12",2011,"whkye",16,"F","other",19,8,7,15,0.10953146654,"2012-13"
"707","Erika Lawler","14","0","1","1",0.04,"2018-19",2018,"whkye",31,"F","nwhl",NA,NA,NA,NA,NA,NA
"708","Erika Lawler","14","1","7","8",0.26,"2017-18",2017,"whkye",30,"F","nwhl",14,0,1,1,0.04,"2018-19"
"709","Erika Lawler","1","0","0","0",0,"2012-13",2012,"whkye",25,"F","other",14,1,7,8,0.26,"2017-18"
"710","Erika Lawler","26","11","22","33",0.56032629489,"2011-12",2011,"whkye",24,"F","other",1,0,0,0,0,"2012-13"
"711","Erika Lawler","4","2","3","5",0.6044747,"2010-11",2010,"whkye",23,"F","other",26,11,22,33,0.56032629489,"2011-12"
"712","Sarah Edney","10","0","1","1",0.05,"2018-19",2018,"whkye",25,"D","nwhl",NA,NA,NA,NA,NA,NA
"713","Sarah Edney","14","3","3","6",0.19,"2017-18",2017,"whkye",24,"D","nwhl",10,0,1,1,0.05,"2018-19"
"714","Sarah Edney","14","4","6","10",0.43,"2016-17",2016,"whkye",23,"D","other",14,3,3,6,0.19,"2017-18"
"715","Sarah Edney","24","5","5","10",0.24,"2015-16",2015,"whkye",22,"D","other",14,4,6,10,0.43,"2016-17"
"716","Sarah Edney","32","8","14","22",0.32,"2014-15",2014,"whkye",21,"D","other",24,5,5,10,0.24,"2015-16"
"717","Sarah Edney","34","7","18","25",0.38080909046,"2013-14",2013,"whkye",20,"D","other",32,8,14,22,0.32,"2014-15"
"718","Sarah Edney","32","3","18","21",0.36487825836,"2012-13",2012,"whkye",19,"D","other",34,7,18,25,0.38080909046,"2013-14"
"719","Sarah Edney","29","7","13","20",0.44025027927,"2011-12",2011,"whkye",18,"D","other",32,3,18,21,0.36487825836,"2012-13"
"720","Sarah Edney","26","2","14","16",0.11588680524,"2010-11",2010,"whkye",17,"D","other",29,7,13,20,0.44025027927,"2011-12"
"721","Sarah Edney","33","2","16","18",0.11498455375,"2009-10",2009,"whkye",16,"D","other",26,2,14,16,0.11588680524,"2010-11"
"722","Sydney Daniels","7","4","2","6",0.39,"2017-18",2017,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"723","Sydney Daniels","28","11","5","16",0.25,"2016-17",2016,"whkye",21,"F","other",7,4,2,6,0.39,"2017-18"
"724","Sydney Daniels","31","21","10","31",0.43,"2015-16",2015,"whkye",20,"F","other",28,11,5,16,0.25,"2016-17"
"725","Sydney Daniels","36","19","7","26",0.34,"2014-15",2014,"whkye",19,"F","other",31,21,10,31,0.43,"2015-16"
"726","Sydney Daniels","31","8","5","13",0.21613488918,"2013-14",2013,"whkye",18,"F","other",36,19,7,26,0.34,"2014-15"
"727","Jenny Ryan","16","1","2","3",0.1,"2018-19",2018,"whkye",23,"D","nwhl",NA,NA,NA,NA,NA,NA
"728","Jenny Ryan","16","3","13","16",0.45,"2017-18",2017,"whkye",22,"D","nwhl",16,1,2,3,0.1,"2018-19"
"729","Jenny Ryan","40","7","18","25",0.28,"2016-17",2016,"whkye",21,"D","other",16,3,13,16,0.45,"2017-18"
"730","Jenny Ryan","40","8","24","32",0.34,"2015-16",2015,"whkye",20,"D","other",40,7,18,25,0.28,"2016-17"
"731","Jenny Ryan","40","3","19","22",0.26,"2014-15",2014,"whkye",19,"D","other",40,8,24,32,0.34,"2015-16"
"732","Jenny Ryan","33","1","5","6",0.09262923822,"2013-14",2013,"whkye",18,"D","other",40,3,19,22,0.26,"2014-15"
"733","Jenny Ryan","27","7","38","45",0.23229578758,"2012-13",2012,"whkye",17,"D","other",33,1,5,6,0.09262923822,"2013-14"
"734","Jenny Ryan","30","7","7","14",0.07259343123,"2011-12",2011,"whkye",16,"D","other",27,7,38,45,0.23229578758,"2012-13"
"735","Kelly Nash","6","0","0","0",0,"2018-19",2018,"whkye",29,"F","nwhl",NA,NA,NA,NA,NA,NA
"736","Kelly Nash","8","2","3","5",0.28,"2017-18",2017,"whkye",28,"F","nwhl",6,0,0,0,0,"2018-19"
"737","Kelly Nash","9","16","19","35",0.51634944683,"2012-13",2012,"whkye",23,"F","other",8,2,3,5,0.28,"2017-18"
"738","Kelly Nash","6","8","9","17",0.42136650514,"2011-12",2011,"whkye",22,"F","other",9,16,19,35,0.51634944683,"2012-13"
"739","Kelly Nash","36","3","9","12",0.13597485462,"2010-11",2010,"whkye",21,"F","other",6,8,9,17,0.42136650514,"2011-12"
"740","Kelly Nash","35","5","18","23",0.3015804066,"2009-10",2009,"whkye",20,"F","other",36,3,9,12,0.13597485462,"2010-11"
"741","Kaycie Anderson","7","0","0","0",0,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"742","Kaycie Anderson","12","1","1","2",0.08,"2017-18",2017,"whkye",26,"F","nwhl",7,0,0,0,0,"2018-19"
"743","Emma Greco","23","0","3","3",0.08,"2018-19",2018,"whkye",23,"D","other",NA,NA,NA,NA,NA,NA
"744","Emma Greco","6","0","2","2",0.15,"2017-18",2017,"whkye",22,"D","nwhl",23,0,3,3,0.08,"2018-19"
"745","Emma Greco","37","0","10","10",0.12,"2016-17",2016,"whkye",21,"D","other",6,0,2,2,0.15,"2017-18"
"746","Emma Greco","38","2","5","7",0.08,"2015-16",2015,"whkye",20,"D","other",37,0,10,10,0.12,"2016-17"
"747","Emma Greco","32","0","5","5",0.07,"2014-15",2014,"whkye",19,"D","other",38,2,5,7,0.08,"2015-16"
"748","Emma Greco","37","0","3","3",0.04116855032,"2013-14",2013,"whkye",18,"D","other",32,0,5,5,0.07,"2014-15"
"749","Emma Greco","38","1","11","12",0.04436717632,"2012-13",2012,"whkye",17,"D","other",37,0,3,3,0.04116855032,"2013-14"
"750","Emma Greco","34","2","10","12",0.0640803156,"2011-12",2011,"whkye",16,"D","other",38,1,11,12,0.04436717632,"2012-13"
"751","Emma Greco","1","0","0","0",0,"2010-11",2010,"whkye",15,"D","other",34,2,10,12,0.0640803156,"2011-12"
"752","Jordan Juron","2","0","0","0",0,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"753","Jordan Juron","2","1","1","2",0.45,"2017-18",2017,"whkye",23,"F","nwhl",2,0,0,0,0,"2018-19"
"754","Jordan Juron","39","5","9","14",0.15,"2015-16",2015,"whkye",21,"F","other",2,1,1,2,0.45,"2017-18"
"755","Jordan Juron","27","1","4","5",0.09,"2014-15",2014,"whkye",20,"F","other",39,5,9,14,0.15,"2015-16"
"756","Jordan Juron","38","5","8","13",0.17496633886,"2013-14",2013,"whkye",19,"F","other",27,1,4,5,0.09,"2014-15"
"757","Jordan Juron","37","4","4","8",0.12162608612,"2012-13",2012,"whkye",18,"F","other",38,5,8,13,0.17496633886,"2013-14"
"758","Jamie Goldsmith","12","1","0","1",0.04,"2018-19",2018,"whkye",27,"F","nwhl",NA,NA,NA,NA,NA,NA
"759","Jamie Goldsmith","14","3","1","4",0.13,"2017-18",2017,"whkye",26,"F","nwhl",12,1,0,1,0.04,"2018-19"
"760","Jamie Goldsmith","23","0","1","1",0.02211383384,"2012-13",2012,"whkye",21,"F","other",14,3,1,4,0.13,"2017-18"
"761","Jamie Goldsmith","34","1","4","5",0.09570658245,"2011-12",2011,"whkye",20,"F","other",23,0,1,1,0.02211383384,"2012-13"
"762","Jamie Goldsmith","36","2","10","12",0.13597485462,"2010-11",2010,"whkye",19,"F","other",34,1,4,5,0.09570658245,"2011-12"
"763","Jamie Goldsmith","35","6","2","8",0.1050962023,"2009-10",2009,"whkye",18,"F","other",36,2,10,12,0.13597485462,"2010-11"
"764","Grace Klienbach","13","1","1","2",0.07,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"765","Rebecca Vint","13","3","3","6",0.21,"2017-18",2017,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"766","Rebecca Vint","19","8","7","15",0.47,"2016-17",2016,"whkye",24,"F","other",13,3,3,6,0.21,"2017-18"
"767","Rebecca Vint","24","19","7","26",0.62,"2015-16",2015,"whkye",23,"F","other",19,8,7,15,0.47,"2016-17"
"768","Rebecca Vint","30","11","5","16",0.25,"2014-15",2014,"whkye",22,"F","other",24,19,7,26,0.62,"2015-16"
"769","Rebecca Vint","34","24","17","41",0.62267432359,"2013-14",2013,"whkye",21,"F","other",30,11,5,16,0.25,"2014-15"
"770","Rebecca Vint","31","16","17","33",0.58601659676,"2012-13",2012,"whkye",20,"F","other",34,24,17,41,0.62267432359,"2013-14"
"771","Rebecca Vint","32","22","22","44",0.88050055854,"2011-12",2011,"whkye",19,"F","other",31,16,17,33,0.58601659676,"2012-13"
"772","Rebecca Vint","31","17","16","33",0.19812905412,"2010-11",2010,"whkye",18,"F","other",32,22,22,44,0.88050055854,"2011-12"
"773","Rebecca Vint","28","10","9","19",0.142162721,"2009-10",2009,"whkye",17,"F","other",31,17,16,33,0.19812905412,"2010-11"
"774","Jordan Ott","7","0","2","2",0.13,"2017-18",2017,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"775","Sarah Shureb","8","1","0","1",0.06,"2017-18",2017,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"776","Corey Stearns","13","0","4","4",0.14,"2017-18",2017,"whkye",26,"F","nwhl",NA,NA,NA,NA,NA,NA
"777","Corey Stearns","29","5","26","31",0.59154505522,"2012-13",2012,"whkye",21,"F","other",13,0,4,4,0.14,"2017-18"
"778","Corey Stearns","20","3","3","6",0.1914131649,"2011-12",2011,"whkye",20,"F","other",29,5,26,31,0.59154505522,"2012-13"
"779","Corey Stearns","31","7","8","15",0.19778160672,"2010-11",2010,"whkye",19,"F","other",20,3,3,6,0.1914131649,"2011-12"
"780","Corey Stearns","31","7","12","19",0.2787334061,"2009-10",2009,"whkye",18,"F","other",31,7,8,15,0.19778160672,"2010-11"
"781","Heather Schwarz","16","1","1","2",0.06,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"782","Heather Schwarz","33","11","10","21",0.28,"2016-17",2016,"whkye",22,"F","other",16,1,1,2,0.06,"2017-18"
"783","Heather Schwarz","36","4","7","11",0.13,"2015-16",2015,"whkye",21,"F","other",33,11,10,21,0.28,"2016-17"
"784","Heather Schwarz","36","4","6","10",0.13,"2014-15",2014,"whkye",20,"F","other",36,4,7,11,0.13,"2015-16"
"785","Heather Schwarz","36","3","6","9",0.12865171975,"2013-14",2013,"whkye",19,"F","other",36,4,6,10,0.13,"2014-15"
"786","Heather Schwarz","27","16","10","26",0.13353530304,"2012-13",2012,"whkye",18,"F","other",36,3,6,9,0.12865171975,"2013-14"
"787","Heather Schwarz","31","12","13","25",0.12510782829,"2011-12",2011,"whkye",17,"F","other",27,16,10,26,0.13353530304,"2012-13"
"788","Cheeky Herr","3","0","0","0",0,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"789","Cheeky Herr","2","0","0","0",0,"2016-17",2016,"whkye",22,"F","other",3,0,0,0,0,"2017-18"
"790","Lindsey Hylwa","5","0","0","0",0,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"791","Lindsey Hylwa","33","1","1","2",0.03,"2016-17",2016,"whkye",22,"F","other",5,0,0,0,0,"2017-18"
"792","Lindsey Hylwa","33","1","0","1",0.01,"2015-16",2015,"whkye",21,"F","other",33,1,1,2,0.03,"2016-17"
"793","Lindsey Hylwa","32","0","0","0",0,"2014-15",2014,"whkye",20,"F","other",33,1,0,1,0.01,"2015-16"
"794","Lindsey Hylwa","26","1","1","2",0.04116855032,"2013-14",2013,"whkye",19,"F","other",32,0,0,0,0,"2014-15"
"795","Rachael Ade","15","2","1","3",0.1,"2018-19",2018,"whkye",23,"D","nwhl",NA,NA,NA,NA,NA,NA
"796","Rachael Ade","16","0","2","2",0.06,"2017-18",2017,"whkye",22,"D","nwhl",15,2,1,3,0.1,"2018-19"
"797","Rachael Ade","38","7","7","14",0.16,"2016-17",2016,"whkye",21,"D","other",16,0,2,2,0.06,"2017-18"
"798","Rachael Ade","37","3","3","6",0.07,"2015-16",2015,"whkye",20,"D","other",38,7,7,14,0.16,"2016-17"
"799","Rachael Ade","36","0","6","6",0.08,"2014-15",2014,"whkye",19,"D","other",37,3,3,6,0.07,"2015-16"
"800","Rachael Ade","32","1","5","6",0.09777530701,"2013-14",2013,"whkye",18,"D","other",36,0,6,6,0.08,"2014-15"
"801","Rachael Ade","26","6","7","13",0.069549637,"2012-13",2012,"whkye",17,"D","other",32,1,5,6,0.09777530701,"2013-14"
"802","Rachael Ade","31","3","9","12",0.06023710251,"2011-12",2011,"whkye",16,"D","other",26,6,7,13,0.069549637,"2012-13"
"803","Sam Donovan","5","0","0","0",0,"2018-19",2018,"whkye",24,"F","nwhl",NA,NA,NA,NA,NA,NA
"804","Sam Donovan","31","8","9","17",0.23,"2017-18",2017,"whkye",23,"F","nwhl",5,0,0,0,0,"2018-19"
"805","Sam Donovan","29","9","12","21",0.32,"2016-17",2016,"whkye",22,"F","other",31,8,9,17,0.23,"2017-18"
"806","Sam Donovan","29","7","7","14",0.21,"2015-16",2015,"whkye",21,"F","other",29,9,12,21,0.32,"2016-17"
"807","Sam Donovan","29","12","5","17",0.28,"2014-15",2014,"whkye",20,"F","other",29,7,7,14,0.21,"2015-16"
"808","Stephanie Mock","11","0","0","0",0,"2017-18",2017,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"809","Stephanie Mock","29","9","7","16",0.26,"2014-15",2014,"whkye",22,"F","other",11,0,0,0,0,"2017-18"
"810","Stephanie Mock","32","4","9","13",0.21098882039,"2013-14",2013,"whkye",21,"F","other",29,9,7,16,0.26,"2014-15"
"811","Stephanie Mock","23","2","3","5",0.12162608612,"2012-13",2012,"whkye",20,"F","other",32,4,9,13,0.21098882039,"2013-14"
"812","Stephanie Mock","29","3","8","11",0.24245667554,"2011-12",2011,"whkye",19,"F","other",23,2,3,5,0.12162608612,"2012-13"
"813","Sophia Agostinelli","2","0","0","0",0,"2017-18",2017,"whkye",25,"F","nwhl",NA,NA,NA,NA,NA,NA
"814","Sophia Agostinelli","17","2","1","3",0.03,"2015-16",2015,"whkye",23,"F","other",2,0,0,0,0,"2017-18"
"815","Cassie Dunne","5","0","0","0",0,"2017-18",2017,"whkye",23,"D","nwhl",NA,NA,NA,NA,NA,NA
"816","Hanna Beattie","12","0","0","0",0,"2017-18",2017,"whkye",NA,"D","nwhl",NA,NA,NA,NA,NA,NA
"817","Hanna Beattie","16","0","0","0",0,"2018-19",2018,"whkye",NA,"D","nwhl",12,0,0,0,0,"2017-18"
"818","Paige Savage","5","0","0","0",0,"2017-18",2017,"whkye",23,"F","nwhl",NA,NA,NA,NA,NA,NA
"819","Paige Savage","37","9","14","23",0.27,"2016-17",2016,"whkye",22,"F","other",5,0,0,0,0,"2017-18"
"820","Paige Savage","38","11","17","28",0.32,"2015-16",2015,"whkye",21,"F","other",37,9,14,23,0.27,"2016-17"
"821","Paige Savage","8","1","2","3",0.18,"2014-15",2014,"whkye",20,"F","other",38,11,17,28,0.32,"2015-16"
"822","Paige Savage","33","7","22","29",0.45285405352,"2013-14",2013,"whkye",19,"F","other",8,1,2,3,0.18,"2014-15"
"823","Paige Savage","33","9","14","23",0.3869920922,"2012-13",2012,"whkye",18,"F","other",33,7,22,29,0.45285405352,"2013-14"
"824","Paige Savage","27","16","14","30",0.17144406099,"2011-12",2011,"whkye",17,"F","other",33,9,14,23,0.3869920922,"2012-13"
"825","Paige Savage","27","18","21","39",0.22556521008,"2010-11",2010,"whkye",16,"F","other",27,16,14,30,0.17144406099,"2011-12"
"826","Colleen Murphy","9","0","1","1",0.06,"2018-19",2018,"whkye",25,"D","nwhl",NA,NA,NA,NA,NA,NA
"827","Colleen Murphy","14","0","2","2",0.06,"2017-18",2017,"whkye",24,"D","nwhl",9,0,1,1,0.06,"2018-19"
"828","Colleen Murphy","36","0","9","9",0.12,"2014-15",2014,"whkye",21,"D","other",14,0,2,2,0.06,"2017-18"
"829","Colleen Murphy","35","5","12","17",0.25215737071,"2013-14",2013,"whkye",20,"D","other",36,0,9,9,0.12,"2014-15"
"830","Colleen Murphy","36","4","10","14",0.21560987994,"2012-13",2012,"whkye",19,"D","other",35,5,12,17,0.25215737071,"2013-14"
"831","Colleen Murphy","31","3","7","10",0.20417404256,"2011-12",2011,"whkye",18,"D","other",36,4,10,14,0.21560987994,"2012-13"
"832","Colleen Murphy","27","6","13","19",0.1096497549,"2010-11",2010,"whkye",17,"D","other",31,3,7,10,0.20417404256,"2011-12"
"833","Jessica Sibley","2","0","0","0",0,"2017-18",2017,"whkye",22,"F","nwhl",NA,NA,NA,NA,NA,NA
"834","Jessica Sibley","31","4","15","19",0.27,"2016-17",2016,"whkye",21,"F","other",2,0,0,0,0,"2017-18"
"835","Jessica Sibley","36","12","18","30",0.36,"2015-16",2015,"whkye",20,"F","other",31,4,15,19,0.27,"2016-17"
"836","Jessica Sibley","36","7","10","17",0.22,"2014-15",2014,"whkye",19,"F","other",36,12,18,30,0.36,"2015-16"
"837","Jessica Sibley","37","12","14","26",0.3602248153,"2013-14",2013,"whkye",18,"F","other",36,7,10,17,0.22,"2014-15"
"838","Jessica Sibley","49","41","26","67",0.151454141165,"2012-13",2012,"whkye",17,"F","other",37,12,14,26,0.3602248153,"2013-14"
"839","Jessica Sibley","30","12","17","29",0.14982048573,"2011-12",2011,"whkye",16,"F","other",49,41,26,67,0.151454141165,"2012-13"
"840","Lexi Bender","16","0","8","8",0.26,"2018-19",2018,"whkye",25,"D","nwhl",NA,NA,NA,NA,NA,NA
"841","Lexi Bender","16","0","1","1",0.03,"2017-18",2017,"whkye",24,"D","nwhl",16,0,8,8,0.26,"2018-19"
"842","Lexi Bender","17","2","4","6",0.16,"2016-17",2016,"whkye",23,"D","other",16,0,1,1,0.03,"2017-18"
"843","Lexi Bender","41","6","27","33",0.34,"2015-16",2015,"whkye",22,"D","other",17,2,4,6,0.16,"2016-17"
